"Ürün","Kategori","Alt Kategori","Saklama Koşulu","Raf Ömrü","Stok","Satış Fiyatı","Rezerv","Statü"
"Johnson's Baby Şampuan (200 ml)","Bebek","Bebek Bakım","Değerli Ürün","720","0","₺5,95","","Aktif"
"Osram Ledvance Spiral Ampul Beyaz Işık (23W)","Ev & Yaşam","Elektrik & Aydınlatma","Değerli Ürün","","0","₺15,95","","Aktif"
"Calve Barbekü Sos (290 g)","Temel Gıda","Salça & Sos","Oda Koşulları","270","Sayımda","₺14,20","","Aktif"
"Scitec Nutrition Creatine Monohydrate (500 g)","Fit & Form","Spor Takviye","Oda Koşulları","720","0","₺68,60","","Aktif"
"Doğuş Küp Şeker (1 kg)","Temel Gıda","Şeker","Oda Koşulları","720","18","₺9,85","","Aktif"
"Dr. Oetker Pudra Şekeri (150 g)","Temel Gıda","Pasta Malzemeleri","Oda Koşulları","540","5","₺3,75","","Aktif"
"Züber Kakaolu & Fındıklı Meyve Bar (40 g)","Fit & Form","Bar","Oda Koşulları","360","39","₺6,50","","Aktif"
"Barilla Arpa Şehriye (500 g)","Temel Gıda","Makarna","Oda Koşulları","960","15","₺8,15","","Aktif"
"Danone Kakaolu Süt (6 x 180 ml)","Süt & Kahvaltı","Süt","Oda Koşulları","270","Sayımda","₺17,65","","Aktif"
"Altınbaşak Yulaflı Kepekli Bisküvi (46 g)","Fit & Form","Kraker & Bisküvi","Oda Koşulları","270","1","₺1,55","","Aktif"
"Knorr Kremalı Mantarlı Çabuk Makarna (67 g)","Yiyecek","Hazır Yemek","Oda Koşulları","360","0","₺7,65","","Aktif"
"Ülker Çubuk Kraker (40 g)","Atıştırmalık","Kraker & Kurabiye","Oda Koşulları","270","61","₺1,00","","Aktif"
"Tadım Çiğ Kaju Fıstığı (140 g)","Atıştırmalık","Kuruyemiş","Oda Koşulları","180","5","₺29,95","","Aktif"
"Falım Nane Aromalı Sakız (5'li - 35 g)","Atıştırmalık","Sakız & Şekerleme","Oda Koşulları","730","0","₺5,50","","Aktif"
"Tadım Kavrulmuş Ay Çekirdeği (180 g)","Atıştırmalık","Kuruyemiş","Oda Koşulları","180","32","₺8,75","","Aktif"
"Tadım Kavrulmuş Tuzsuz Ay Çekirdeği (180 g)","Atıştırmalık","Kuruyemiş","Oda Koşulları","180","6","₺8,75","","Aktif"
"Malatya Pazarı MP Çiğ Badem İçi (200 g)","Atıştırmalık","Kuruyemiş","Oda Koşulları","180","0","₺33,75","","Aktif"
"Ülker Dankek Kakaolu Lokmalık (160 g)","Atıştırmalık","Kek & Bisküvi","Oda Koşulları","270","28","₺5,50","","Aktif"
"Ülker Çokoprens (30 g)","Atıştırmalık","Kek & Bisküvi","Oda Koşulları","365","0","₺0,95","","Aktif"
"Chips Master Klasik İncecik Patates Cipsi (85 g)","Atıştırmalık","Cips","Oda Koşulları","180","0","₺2,49","","İnaktif"
"Çizmeci Time Wafer Master Kakaolu Fındık Kremalı Rulo Gofret (65 g)","Atıştırmalık","Gofret","Oda Koşulları","365","0","₺1,75","","Aktif"
"Ülker Albeni (40 g)","Atıştırmalık","Çikolata","Oda Koşulları","360","144","₺1,75","","Aktif"
"Ülker Çikolata Sütlü Kare (60 g)","Atıştırmalık","Çikolata","+18 maksimum","365","27","₺5,75","","Aktif"
"Ülker Laviva Dolgulu ve Bisküvili Çikolata (35 g)","Atıştırmalık","Çikolata","+18 maksimum","365","23","₺2,50","","Aktif"
"Jelibon Sour Patch Kids (80 g)","Atıştırmalık","Sakız & Şekerleme","Oda Koşulları","365","Sayımda","₺5,25","","Aktif"
"Sleepy Natural Bantlı Bez XL 6 Beden (20 Adet)","Bebek","Bebek Bezi","Oda Koşulları","","3","₺36,90","","Aktif"
"Sofia 3 Katlı Tuvalet Kağıdı (16'lı)","Ev Bakım","Kağıt Ürünleri","Oda Koşulları","","6","₺43,90","","Aktif"
"Selpak Klasik Peçete (50'li)","Ev Bakım","Kağıt Ürünleri","Oda Koşulları","","0","₺7,50","","Aktif"
"Domestos Çamaşır Suyu Pembe Güç (750 ml)","Ev Bakım","Temizlik","Oda Koşulları","","0","₺9,55","","Aktif"
"Domestos Klozet Bloğu 5’li Güç Aktif Mavi Su (Tekli)","Ev Bakım","Temizlik","Oda Koşulları","720","0","₺10,45","","Aktif"
"Bref Power Aktiv Katı Tuvalet Bloğu Çam (2'li)","Ev Bakım","Temizlik","Oda Koşulları","720","49","₺20,50","","Aktif"
"Omo Toz Çamaşır Deterjanı Active Fresh 10 Yıkama (1,5 kg)","Ev Bakım","Çamaşır","Oda Koşulları","720","6","₺19,99","","Aktif"
"Cif Jel Zemin Uzmanı Ahşap Yüzey Temizleyici (750 ml)","Ev Bakım","Temizlik","Oda Koşulları","360","0","₺21,25","","Aktif"
"Kotex Ultra Ped Gece (18'li)","Kişisel Bakım","Hijyenik Ped","Oda Koşulları","","0","₺19,45","","Aktif"
"Lora Meyveli Muhabbet Kuşu Yemi (400 g)","Evcil Hayvan","Kuş","Oda Koşulları","730","0","₺13,75","","Aktif"
"Whiskas Sığır Etli Yaş Kedi Maması (100 g)","Evcil Hayvan","Kedi","Oda Koşulları","540","19","₺5,50","","Aktif"
"Proline Tavuklu Yavru Köpek Maması (3 kg)","Evcil Hayvan","Köpek","Oda Koşulları","540","8","₺86,90","","Aktif"
"Nivea Men Deep Dimension Sprey Deodorant (150 ml)","Kişisel Bakım","Deodorant","Oda Koşulları","900","4","₺21,90","","Aktif"
"Blendax Erkekler İçin Şampuan Mentol Ferahlığı (550 ml)","Kişisel Bakım","Saç Bakım","Oda Koşulları","","0","₺14,95","","Aktif"
"Colgate Minions Çocuk Diş Fırçası (6+ Yaş)","Kişisel Bakım","Ağız Bakım","Oda Koşulları","720","0","₺24,90","","Aktif"
"Neutrogena Deep Clean Göz Makyaj Temizleyicisi (125 ml)","Kişisel Bakım","Kozmetik","Oda Koşulları","","0","₺22,90","","İnaktif"
"Penti Mat 20 Külotlu Çorap Siyah Renk 20 DEN (Beden: 3)","Giyim","Kadın Çorap","Oda Koşulları","","6","₺15,95","","Aktif"
"Penti Suba Pamuklu Babet Çorabı Ten Rengi 40 DEN (Beden: 37 - 38)","Giyim","Kadın Çorap","Değerli Ürün","","0","₺8,49","","Aktif"
"Jack & Jones Boxer (Beden: L)","Giyim","Erkek İç Giyim","Değerli Ürün","","0","₺19,95","","İnaktif"
"Gillette Venus Breeze Yedek Kadın Tıraş Bıçağı (4'lü)","Kişisel Bakım","Tıraş Malzemeleri","Değerli Ürün","","4","₺145,90","","Aktif"
"Dove Original Sprey Deodorant (150 ml)","Kişisel Bakım","Deodorant","Oda Koşulları","1080","19","₺28,90","1","Aktif"
"Penti Fit 15 Külotlu Çorap Siyah Renk 15 DEN (Beden: 3)","Giyim","Kadın Çorap","Değerli Ürün","","9","₺14,95","","Aktif"
"Pantene Onarıcı ve Koruyucu Bakım Şampuan (500 ml)","Kişisel Bakım","Saç Bakım","Oda Koşulları","720","0","₺16,45","","Aktif"
"Nivea Erkek Fresh Deodorant Sprey (150 ml)","Kişisel Bakım","Deodorant","Oda Koşulları","720","0","₺18,95","","İnaktif"
"Colgate Üçlü Etki Diş Fırçası Orta (Tekli)","Kişisel Bakım","Ağız Bakım","Oda Koşulları","","0","₺12,95","","Aktif"
"Selin Limon Kolonyası (400 ml)","Kişisel Bakım","Kolonya","Oda Koşulları","1080","25","₺18,65","1","Aktif"
"Gillette Permatik Banyo Kullan At Tıraş Bıçağı (5'li)","Kişisel Bakım","Tıraş Malzemeleri","Değerli Ürün","","0","₺20,90","","Aktif"
"Signal White Now Seyahat Seti (2 Ürün)","Kişisel Bakım","Ağız Bakım","Oda Koşulları","1095","11","₺16,95","","Aktif"
"Penti Yok Gibi Külotlu Çorap Siyah Renk 5 DEN (Beden: 3)","Giyim","Kadın Çorap","Değerli Ürün","","0","₺21,90","","Aktif"
"Penti Suba Pamuklu Babet Çorabı Ten Rengi 40 DEN (39 - 40)","Giyim","Kadın Çorap","Oda Koşulları","","0","₺8,49","","İnaktif"
"Dr. Oetker Vitalis Çikolatalı Çıtır Müsli (450 g)","Süt & Kahvaltı","Kahvaltılık Gevrek","Oda Koşulları","390","7","₺30,10","","Aktif"
"Dardanel Konserve Mısırlı Ton Balığı (185 g)","Yiyecek","Konserve & Turşu","Oda Koşulları","1095","11","₺14,90","","Aktif"
"Reeva Dana Eti Aromalı Erişte (75 g)","Temel Gıda","Makarna","Oda Koşulları","365","0","₺10,95","","Aktif"
"Dr. Oetker Vitalis Bal Bademli Çıtır Müsli (450 g)","Süt & Kahvaltı","Kahvaltılık Gevrek","Oda Koşulları","390","3","₺30,10","","Aktif"
"Yayla Barbunya Pilaki (400 g)","Yiyecek","Hazır Yemek","Oda Koşulları","730","5","₺10,95","2","Aktif"
"Tukaş Haşlanmış Hazır Kuru Fasulye (800 g)","Yiyecek","Konserve & Turşu","Oda Koşulları","1260","9","₺7,90","","Aktif"
"Uniq2go Natural Power Protein Bar (45 g)","Fit & Form","Bar","Oda Koşulları","365","0","₺10,95","","Aktif"
"Billur Tuz İyotlu Sofra Tuzu (750 g)","Temel Gıda","Baharat","Oda Koşulları","1460","41","₺5,75","","Aktif"
"Nesfit Ballı Bademli Vitaminli ve Mineralli Tam Tahıl ve Pirinç Gevreği (400 g)","Süt & Kahvaltı","Kahvaltılık Gevrek","Oda Koşulları","360","0","₺19,75","","Aktif"
"Yayla Koçbaşı Nohut (1 kg)","Temel Gıda","Bakliyat","Oda Koşulları","720","8","₺23,75","","Aktif"
"Bağdat Karabiber (45 g)","Temel Gıda","Baharat","Oda Koşulları","720","0","₺8,45","","İnaktif"
"Knorr Cam Tavuk Suyu (480 ml)","Temel Gıda","Çorba","Oda Koşulları","540","3","₺17,95","","Aktif"
"Tukaş Domates Salçası (700 g)","Temel Gıda","Salça & Sos","Oda Koşulları","1260","0","₺10,95","","Aktif"
"Ülker Dankek Havuçlu Tarçınlı Lokmalık (160 g)","Atıştırmalık","Kek & Bisküvi","Oda Koşulları","270","0","₺5,50","","Aktif"
"Damla Minera Doğal Maden Suyu (750 ml)","Su & İçecek","Maden Suyu","Oda Koşulları","365","0","₺6,95","","Aktif"
"Pınar Şekersiz Limonata (1 L)","Su & İçecek","Meyve Suyu","Oda Koşulları","120","Sayımda","₺5,65","","Aktif"
"Coca-Cola Zero Sugar (6 x 250 ml)","Su & İçecek","Gazlı İçecek","Oda Koşulları","180","59","₺20,95","","Aktif"
"Fuse Tea Şeftali (1 L)","Su & İçecek","Soğuk Çay & Kahve","Oda Koşulları","270","15","₺5,45","","Aktif"
"Berrak Cevizli Dobipa Kahvaltılık Sos (310 g)","Süt & Kahvaltı","Çikolata & Ezme","Oda Koşulları","1080","7","₺15,95","","Aktif"
"OKEY Ultra Hisset (20'li)","Cinsel Sağlık","Prezervatif","Oda Koşulları","","0","₺27,45","","Aktif"
"Canped Emici Külot Yetişkin Bezi Büyük Boy (8'li)","Kişisel Bakım","Genel Sağlık","Oda Koşulları","","0","₺49,90","","Aktif"
"Prima Bebek Bezi Premium Care 2 Beden Mini Jumbo Paket (60 Adet)","Bebek","Bebek Bezi","Oda Koşulları","","4","₺128,90","","Aktif"
"Dalin Bebek Sabunu (3 x 100 g)","Bebek","Bebek Bakım","Oda Koşulları","","0","₺18,95","","Aktif"
"Dalin Jasmin Bebek Kolonyası (150 ml)","Bebek","Bebek Bakım","Oda Koşulları","","0","₺8,95","","Aktif"
"Activex Antibakteriyel Islak Mendil Aktif (56 Yaprak)","Kişisel Bakım","Islak Havlu","Oda Koşulları","","0","₺9,45","","Aktif"
"Namet %20 Yağlı Dana Kıyma (400 g)","Et, Tavuk & Balık","Kırmızı Et","+4","12","13","₺31,50","","Aktif"
"Solo Tuvalet Kağıdı (16'lı)","Ev Bakım","Kağıt Ürünleri","Oda Koşulları","","0","₺37,95","","Aktif"
"Marmara Barber No 2 Sprey Kolonya (250 ml)","Kişisel Bakım","Kolonya","Oda Koşulları","","0","₺14,95","","Aktif"
"Mr Muscle Köpüren Jel Çamaşır Suyu Marine (750 ml)","Ev Bakım","Temizlik","Oda Koşulları","","0","₺25,90","","Aktif"
"Kuru Soğan (2 kg)","Meyve & Sebze","Sebze","Oda Koşulları","15","33","₺9,95","","Aktif"
"Johnson's Baby Dream Kolonya (200 ml)","Bebek","Bebek Bakım","Oda Koşulları","","0","₺10,95","","Aktif"
"Filiz Burgu Makarna (500 g)","Temel Gıda","Makarna","Oda Koşulları","730","11","₺4,75","","Aktif"
"Gourmet Garage Sade Grissini (150 g)","Fırından","Unlu Mamüller","Oda Koşulları","180","Sayımda","₺13,95","","Aktif"
"Cook Doğada Çözünür Buzdolabı Poşeti (30'lu - 24 x 38 cm)","Ev Bakım","Mutfak","Oda Koşulları","","0","₺7,50","","Aktif"
"Kınık C+Limon Aromalı Maden Suyu (6 x 200 ml)","Su & İçecek","Maden Suyu","Oda Koşulları","365","0","₺9,45","","Aktif"
"Mandıradan Tam Yağlı Olgunlaştırılmış Kars Eski Kaşar Peyniri (200 g)","Süt & Kahvaltı","Peynir","+4","365","9","₺25,25","","Aktif"
"Mandıradan Tam Yağlı Kars Taze Kaşar Peyniri (200 g)","Süt & Kahvaltı","Peynir","+4","365","9","₺21,95","","Aktif"
"Crazy Nut Taco Çeşnili Kaju Fıstığı (130 g)","Atıştırmalık","Kuruyemiş","Oda Koşulları","270","9","₺21,75","","Aktif"
"Wee Baby Gece Gündüz Emzik No:1 (2'li - No: 1)","Bebek","Biberon & Emzik","Oda Koşulları","","6","₺24,50","","Aktif"
"Fabrikita Dulce De Leche Süt Karameli (230 g)","Süt & Kahvaltı","Çikolata & Ezme","Oda Koşulları","300","0","₺32,95","","Aktif"
"Gimcat Kedi Ödül Puding (150 g)","Evcil Hayvan","Kedi","Oda Koşulları","360","0","₺39,90","","Aktif"
"Scotch Brite Kullan-At Islak Banyo Bezi (50 Yaprak)","Ev Bakım","Temizlik","Oda Koşulları","1095","0","₺31,50","","Aktif"
"Wasp Portakal, Fındık & Arı Polenli Meyve Barı (35 g)","Fit & Form","Bar","Oda Koşulları","365","0","₺4,20","","Aktif"
"Knorr Sebzeli Et Çeşnili Çabuk Noodle (66 g)","Yiyecek","Hazır Yemek","Oda Koşulları","270","21","₺3,75","","Aktif"
"Başyazıcı Kayseri Antrikot Pastırma (200 g)","Süt & Kahvaltı","Şarküteri","+4","60","0","₺42,90","","İnaktif"
"Uno Limonlu Mini Kek Madeleine (150 g)","Fırından","Unlu Mamüller","Oda Koşulları","60","16","₺10,45","","Aktif"
"UNO Geleneksel Dairesel Lavaş 15 cm (300 g)","Fırından","Unlu Mamüller","Oda Koşulları","90","0","₺8,50","","İnaktif"
"UNO Çikolatalı Turta (100 g)","Fırından","Taze Fırın","-18","180","0","₺3,95","","İnaktif"
"Dr. Oetker Mısır Nişastası (150 g)","Temel Gıda","Pasta Malzemeleri","Oda Koşulları","720","27","₺3,65","","Aktif"
"Carte d'Or Chocolatier Vişne & Çikolata (750 ml)","Dondurma","Kutu","-18","720","0","₺23,90","","Aktif"
"Aroma %100 Vişne Elma Suyu (1 L)","Su & İçecek","Meyve Suyu","Oda Koşulları","540","1","₺6,75","","Aktif"
"Aroma Şeftali Nektarı (1 L)","Su & İçecek","Meyve Suyu","Oda Koşulları","540","0","₺7,25","","Aktif"
"Fındıklı Kurabiye (65 g)","Fırından","Taze Fırın","-18","365","0","₺5,45","","Aktif"
"Penti Mat 20 Külotlu Hostes Çorabı Duman Nefti Renk 20 DEN (Beden: 2)","Giyim","Kadın Çorap","Oda Koşulları","","0","₺14,45","","Aktif"
"Omo Toz Çamaşır Deterjanı Color 40 Yıkama (6 kg)","Ev Bakım","Çamaşır","Oda Koşulları","730","0","₺47,49","","Aktif"
"Evy Baby Bebek Bezi 5 Beden Junior Ekonomik Paket 24 Adet (24 Adet)","Bebek","Bebek Bezi","Oda Koşulları","","0","₺26,95","","Aktif"
"Evy Baby Bebek Bezi 6 Beden Ekstra Large Ekonomik Paket (20 Adet)","Bebek","Bebek Bezi","Oda Koşulları","","4","₺26,95","","Aktif"
"Toprak Doğal Ürünler Dut Kurusu (250 g)","Atıştırmalık","Kuruyemiş","Oda Koşulları","365","0","₺20,90","","İnaktif"
"Pepsi Twist (250 ml)","Su & İçecek","Gazlı İçecek","Oda Koşulları","180","32","₺3,45","","Aktif"
"Deprem Çantası (Kuryeler İçin Deprem Çantası)","","","Oda Koşulları","","1","","","İnaktif"
"Fairy Bulaşık Süngeri (Tekli)","Ev Bakım","Temizlik","Oda Koşulları","1800","0","₺9,95","","İnaktif"
"Durex Extreme (10'lu)","Cinsel Sağlık","Prezervatif","Oda Koşulları","","6","₺59,90","","Aktif"
"Coca-Cola Lime (250 ml)","Su & İçecek","Gazlı İçecek","Oda Koşulları","365","0","₺3,95","","Aktif"
"ttec AlumiCable Mini iPhone Şarj Kablosu Uzay Grisi (30 cm)","Teknoloji","Şarj Aleti & Kablo","Oda Koşulları","","0","₺59,90","","Aktif"
"La Vache Qui Rit Çedarlı Dilimli Peynir (200 g)","Süt & Kahvaltı","Peynir","+4","240","0","₺25,25","","Aktif"
"ttec SuperSlim Koruma Kılıfı (iPhone 11)","Teknoloji","Telefon Aksesuar","Oda Koşulları","","0","₺24,90","","Aktif"
"ABC Yeni Nesil Krem Temizleyici Bahar (750 ml)","Ev Bakım","Temizlik","Oda Koşulları","1080","0","₺8,45","","Aktif"
"Tire Süt Tam Yağlı Kaymaklı Yoğurt (500 g)","Süt & Kahvaltı","Yoğurt","+4","17","0","₺11,35","","Aktif"
"Lipton Ice Tea Limon (330 ml)","Su & İçecek","Soğuk Çay & Kahve","Oda Koşulları","365","19","₺3,95","","Aktif"
"Cheetos Peynir Aromalı Mısır Çerezi (41 g)","Atıştırmalık","Cips","Oda Koşulları","120","59","₺2,29","","Aktif"
"Namet Hindi Füme 7/24 (60 g)","Süt & Kahvaltı","Şarküteri","+4","120","44","₺3,49","","Aktif"
"Lipton Ice Tea Double Şeftali & Kayısı (500 ml)","Su & İçecek","Soğuk Çay & Kahve","Oda Koşulları","365","0","₺1,95","","İnaktif"
"Eker Probiyotik Yoğurt (500 g)","Süt & Kahvaltı","Yoğurt","+4","32","10","₺9,20","","Aktif"
"Colgate Total Pro Diş Eti Sağlığı Diş İpi (50 m)","Kişisel Bakım","Ağız Bakım","Oda Koşulları","1080","0","₺39,90","","Aktif"
"Danette Selection Hindistan Cevizi Tadında İçecek (180 ml)","Süt & Kahvaltı","Süt","Oda Koşulları","180","0","₺1,40","","İnaktif"
"Nestlé Sıcak Çikolata (18,5 g)","Su & İçecek","Süt & Salep","Oda Koşulları","450","0","₺1,10","","Aktif"
"GOO.N Premium Soft Külot Bez 4 Beden (20 Adet)","Bebek","Bebek Bezi","Oda Koşulları","","0","₺23,90","","Aktif"
"Coca-Cola Energy (250 ml)","Su & İçecek","Gazlı İçecek","Oda Koşulları","365","30","₺7,45","","Aktif"
"Pril Power Sıvı Bulaşık Deterjanı İncir (653 ml)","Ev Bakım","Bulaşık","Oda Koşulları","","0","₺7,90","","Aktif"
"Raya Organik Pilavlık Bulgur (500 g)","Temel Gıda","Bulgur","Oda Koşulları","720","0","₺9,75","","Aktif"
"Namet Piliç Füme (150 g)","Süt & Kahvaltı","Şarküteri","+4","120","8","₺11,95","","Aktif"
"Algida 200 Yatay Dolap","","","","","0","","","İnaktif"
"Algida Maraş Sade (750 ml)","","","","","0","","","İnaktif"
"Aptamil 1 Bebek Sütü (200 ml)","Bebek","Mama","Oda Koşulları","300","0","₺4,45","","İnaktif"
"Patos Rolls Acılı Cips (85 g)","Atıştırmalık","Cips","Oda Koşulları","180","0","₺4,95","","İnaktif"
"Carte d'Or Geleneksel Tatlı Kazandibi (182 g)","Temel Gıda","Tatlı","Oda Koşulları","730","0","₺6,95","","İnaktif"
"Gourmet Garage Ayçekirdekli Tuzlu Kurabiye (200 g)","Fırından","Unlu Mamüller","Oda Koşulları","180","Sayımda","₺17,95","","Aktif"
"Peyman Bahçeden Çiğ Badem (175 g)","Atıştırmalık","Kuruyemiş","Oda Koşulları","300","12","₺31,50","1","Aktif"
"Herby Bardak Yılbaşı Karışık Bitki Çayı (20'li)","Su & İçecek","Çay","Oda Koşulları","730","0","₺17,90","","Aktif"
"Urban Care Peeling Biotin & Kafein Şampuan (200 ml)","Kişisel Bakım","Saç Bakım","Oda Koşulları","1800","0","₺42,90","","İnaktif"
"Whiskas Konserve Ton Balıklı Kedi Maması (400 g)","Evcil Hayvan","Kedi","Oda Koşulları","730","0","₺14,50","","Aktif"
"Autokit Kaza Tespit Tutanak Seti Kalemli","Ev & Yaşam","Diğer","Oda Koşulları","","3","₺4,95","1","Aktif"
"Eker Efsane Kayısılı Yoğurt (125 g)","Süt & Kahvaltı","Yoğurt","+4","32","0","₺4,50","","Aktif"
"Otacı %100 Doğal Gül Suyu Yüz Spreyi (50 ml)","Kişisel Bakım","Kozmetik","Oda Koşulları","720","0","₺19,95","","Aktif"
"Glassy Gözlük Silme Mendili (12'li)","Ev & Yaşam","Diğer","Oda Koşulları","","1","₺8,95","","Aktif"
"Adeland Orta Boy Pompalı Su Atar (28 cm)","Ev & Yaşam","Oyun & Oyuncak","Oda Koşulları","","0","₺16,95","","İnaktif"
"Orkid Platinum Comfort Hijyenik Ped Gece Extra Süper Ekonomik Paket (18'li)","Kişisel Bakım","Hijyenik Ped","Oda Koşulları","","0","₺12,95","","Aktif"
"Cornetto Disc Antep Fıstık & Çikolata (140 ml)","Dondurma","Külah","-18","540","9","₺6,50","","Aktif"
"Fiorella Sütlü Çikolata Kaplı Fındık Kremalı Gofret (60 g)","Atıştırmalık","Gofret","+18 maksimum","365","0","₺4,95","","Aktif"
"Green Life Sumak (60 g)","Temel Gıda","Baharat","Oda Koşulları","730","1","₺4,00","","Aktif"
"Green Life Tatlı Kırmızıbiber (75 g)","Temel Gıda","Baharat","Oda Koşulları","730","0","₺6,25","","Aktif"
"Starbucks Doubleshot Espresso (200 ml)","Su & İçecek","Soğuk Çay & Kahve","Oda Koşulları","365","0","₺22,15","","Aktif"
"SuperFresh Haşlanmış Kuru Fasulye (400 g)","Yiyecek","Dondurulmuş","-18","730","0","₺12,25","","Aktif"
"Başyazıcı Kayseri Mantısı (500 g)","Yiyecek","Hazır Yemek","+4","60","4","₺36,90","","Aktif"
"Algida Maraş Usulü Çikolatalı Sade Dondurma (500 ml)","Dondurma","Kutu","-18","730","9","₺17,90","","Aktif"
"Cakes & Bakes Susamlı Mini Simit (200 g)","Fırından","Unlu Mamüller","Oda Koşulları","75","3","₺19,95","","Aktif"
"Apple Lightning Konnektörlü EarPods (Beyaz)","Teknoloji","Müzik","Değerli Ürün","","1","₺199,00","","Aktif"
"Twigy Kadın Terlik (37)","Giyim","Ev Giyim","Oda Koşulları","","2","₺59,90","","Aktif"
"Carte d'Or Selection Toblerone (800 ml)","Dondurma","Kutu","-18","730","0","₺23,90","","Aktif"
"Orkide Naturel Sızma Zeytinyağı (1 L)","Temel Gıda","Sıvı Yağ","Oda Koşulları","730","0","₺53,35","","Aktif"
"Uno Premium Çavdarlı ve Karabuğdaylı Ekmek (350 g)","Fırından","Unlu Mamüller","Oda Koşulları","8","3","₺9,95","","Aktif"
"Sütaş Pastörize Taze Cam Şişe %3 Yağlı Süt (1 L)","Süt & Kahvaltı","Süt","+4","6","25","₺10,50","","Aktif"
"Peyman Çitliyo Klasik Ay Çekirdeği (100 g)","Atıştırmalık","Kuruyemiş","Oda Koşulları","120","21","₺6,50","","Aktif"
"Tat Geleneksel Vişne Reçeli (380 g)","Süt & Kahvaltı","Bal & Reçel","Oda Koşulları","912","8","₺13,95","","Aktif"
"Peyman Nutzz Cheddar Soğan Kızartılmış Yer Fıstığı (83 g)","Atıştırmalık","Kuruyemiş","Oda Koşulları","305","0","₺5,75","","Aktif"
"Kızılay Doğal Maden Suyu Afyonkarahisar (6 x 200 ml)","Su & İçecek","Maden Suyu","Oda Koşulları","","71","₺6,50","","Aktif"
"Patates (2 kg)","Meyve & Sebze","Sebze","Oda Koşulları","15","41","₺14,45","","Aktif"
